codigo;nome do produto;sexo;tamanho;cor;imagem;quantidade;valor de custo;perc lucro;valor de venda
13;Meia You Baby;Feminino;5 a 24 Meses;Sortida;Image 20 setembro 2020 10:12 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec3MxPVb16lECziI/fldknrxBWGyUjOsAV/atty0WiFn9ywyntIy);5;R$3.01;100%;R$6.90
18;Joelheira Selene;Feminino;Unico;;Image 20 setembro 2020 10:33 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recMaYfkvzAvKMEBU/fldknrxBWGyUjOsAV/att2mTyNZ0i8jpHYY);2;R$7.54;90%;R$14.90
19;Joelheira Selene;Masculino;Unico;;Image 20 setembro 2020 10:32 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recI2USDich16znIg/fldknrxBWGyUjOsAV/attdVxYho5cmYtlU1);1;R$7.54;90%;R$14.90
21;"Mijão B. Molhado Bordado";Feminino;XG - Bebê;;Image 20 setembro 2020 10:35 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recsz7EkKOV2QuB6J/fldknrxBWGyUjOsAV/atthi0yX4LFP7mqv8);2;R$8.52;70%;R$14.90
22;"Mijão Liso Flaphy";Unisex;M - Bebê;Sortida;Image 20 setembro 2020 01:11 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recjMQ0bouiwKdEaz/fldknrxBWGyUjOsAV/atthJ0M1ZOhRfjK0m), Image 20 setembro 2020 01:12 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recjMQ0bouiwKdEaz/fldknrxBWGyUjOsAV/attKTlTIrkqByJOpk);1;R$3.76;100%;R$8.90
24;"Mijão Estampado Flaphy";Unisex;P - Bebê;Sortida;Image 20 setembro 2020 01:15 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recSefVlrQQLox4rF/fldknrxBWGyUjOsAV/attoG9z9wTQfqj6qg);3;R$7.01;100%;R$14.90
25;"Mijão Estampado Flaphy";Unisex;M - Bebê;Sortida;Image 20 setembro 2020 01:16 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWJjgW9G54cYTLp/fldknrxBWGyUjOsAV/attXZHm5HR3HhoRIX), Image 20 setembro 2020 01:16 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWJjgW9G54cYTLp/fldknrxBWGyUjOsAV/attmOW2aIZnxVW6l1);2;R$7.01;100%;R$14.90
26;"Mijão Estampado Flaphy";Unisex;G - Bebê;Sortida;Image 20 setembro 2020 01:18 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recTRSmh75hjbmBuC/fldknrxBWGyUjOsAV/attsns9RPFTp6wYMG), Image 20 setembro 2020 01:18 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recTRSmh75hjbmBuC/fldknrxBWGyUjOsAV/attBeB85DEyYOxo51);2;R$7.01;100%;R$14.90
35;Meia You Baby;Feminino;RN - Recém Nascido;Sortida;Image 20 setembro 2020 11:04 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/receC0bSBtE02oCOr/fldknrxBWGyUjOsAV/attoOrEOSDj0Emoto);5;R$3.01;100%;R$6.90
37;Meia Sapatilha You Baby ;Feminino;RN - Recém Nascido;Sortida;Image 20 setembro 2020 11:05 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvWC0ZZ3hJNzhiX/fldknrxBWGyUjOsAV/attZqY5c9ebJzUvoH);2;R$4.85;70%;R$8.90
